Unnamed: 0,K,l1_dist,l2_dist,cos_sim,cos_sim_ratio,correlation,kl,jaccard,method
0,5,0.536572761178588,0.0123833250659052,0.8843860263382733,3.5668138820321307,0.8821663444128143,inf,0.8008730618319968,gplsi
1,5,0.5231813076888463,0.0114688514792691,0.8950082190587052,3.760751261348532,0.893040541370182,inf,0.8132995907871416,gplsi
2,5,0.2350197585993453,0.001844535350882,0.9847589618431254,4.127714541869416,0.984488979082654,inf,0.9673328115289036,gplsi
3,5,0.5631503007196265,0.014086769156973,0.8671959523667093,3.4601437998491864,0.8646023585523752,inf,0.7791326086735879,plsi
4,5,0.5249885950990935,0.0120796841327609,0.8886058353151711,3.770818844603813,0.8864899293286304,inf,0.8057291652876571,plsi
5,5,0.2477064697431457,0.0019730634630945,0.98376065335592,4.074660482729912,0.9834750846613448,inf,0.9641554325595708,plsi
6,5,0.2739901885078367,0.0005764648048144,0.9869292717995612,2.0998095220594952,0.986297920235938,0.2098973716989554,0.9738828384601672,lda
7,5,0.2514084819782356,0.000474551342036,0.9896219426588272,2.130107934173438,0.9891388395429294,0.1922899698887716,0.9788093686685644,lda
8,5,0.2571327659036573,0.0004471100747955,0.9901219301680838,2.097193061402729,0.9896496694835648,0.2003678458704357,0.9799889082277504,lda
0,7,0.4567907772213272,0.0131369733203681,0.9147124359591272,4.021193119326821,0.913516847247382,inf,0.8501370010693984,gplsi
1,7,0.6407622144514267,0.0239452297343569,0.8368424510236434,3.678312837348886,0.8345231130906708,inf,0.745216585538981,gplsi
2,7,0.6064233493376907,0.01842421171782,0.8492910052635613,3.917357475981834,0.8467767199997619,inf,0.7579864771938348,gplsi
3,7,0.5289097222901918,0.0169025729991643,0.8761812112446419,3.805281318741036,0.8742637156188799,inf,0.7898237203513706,plsi
4,7,0.6916070866786029,0.0273516045397673,0.7901735071975099,3.290143845298646,0.7868304910356431,inf,0.6870881375660259,plsi
5,7,0.5478440480768443,0.0137327926004165,0.8931906612909427,4.10180818938009,0.891470712001717,inf,0.8219678178800811,plsi
6,7,0.4641010953924772,0.0025977335987484,0.9383568346835868,2.040746630243581,0.9351766531992328,0.5918447009113498,0.8916964596393372,lda
7,7,0.451411036682209,0.0024014523349925,0.9385947156957678,1.9415190147839392,0.9351632360075036,0.4832324388671472,0.8933014414418236,lda
8,7,0.4876631017741689,0.003195720196481,0.923597894121282,1.9107248293481,0.9197929519796892,0.6187874035103899,0.8725948211917215,lda
0,10,0.8039394648998387,0.0369900024682692,0.7694521626612725,3.4745525549876284,0.7664422586615014,inf,0.6454209565711454,gplsi
1,10,1.001111353668535,0.0465115189823455,0.7108586369228764,3.2531212924011865,0.7070044010897589,inf,0.5602077001435849,gplsi
2,10,0.5890425476041413,0.0181141993258635,0.8846581044358395,4.065459278714567,0.8831367436546522,inf,0.794817706362421,gplsi
3,10,0.7865737916303971,0.034992172239537,0.7778172653623662,3.4724086593457417,0.7748268667467166,inf,0.6510315583914973,plsi
4,10,0.863505439714911,0.0376771404363361,0.769221073806392,3.3055003747298435,0.7659657475346668,inf,0.6237707751428311,plsi
5,10,0.8931970291612705,0.0376745919980401,0.7536733205085531,3.0743301291663316,0.7501391360360354,inf,0.6079043072675588,plsi
6,10,0.6140422161457517,0.0057493954558781,0.8853353468014344,2.094937911231376,0.8802008275608453,0.8626253684470377,0.8050361900593487,lda
7,10,0.7178786009972793,0.0083584502188064,0.8320898964395596,1.935911683835415,0.8247940634119514,1.0842874662381623,0.7364552425441611,lda
8,10,0.523722092896619,0.0041204232437617,0.9138155221792348,2.109451630788689,0.9099071050995258,0.7141132765065628,0.8580870258645277,lda
0,15,0.973211737388058,0.0440887335775166,0.7561237306899875,3.7449428932475537,0.7530278471165016,inf,0.6091325120655454,gplsi
1,15,0.9405551809945286,0.0434071904707427,0.743968071643313,3.60283110492945,0.7406465942929334,inf,0.6086152436772694,gplsi
2,15,0.950048441968678,0.0456161000401629,0.7647017689456526,3.748222024850074,0.7620404229642544,inf,0.6119546493366401,gplsi
3,15,0.8427738350628331,0.0378791760955922,0.784926644184603,3.980390514237905,0.782246129127699,inf,0.6552003345407917,plsi
4,15,0.8667989656160552,0.0421902560956965,0.7575276659409281,3.7362288593343265,0.7544437478596296,inf,0.6173887835410614,plsi
5,15,0.8846749612647998,0.0415520407601766,0.7742455425513123,3.8593789169229624,0.7715993602436915,inf,0.6390611468221348,plsi
6,15,0.7521280932169567,0.0102355398209133,0.8014235668544103,2.1425177279454855,0.7930337634460697,1.2465085484538336,0.7232946688878117,lda
7,15,0.7528154498609092,0.0102436345780592,0.8215812883139244,2.0822479055098095,0.8143634919530425,1.1518347687649535,0.7170932020514941,lda
8,15,0.7597006239311597,0.0099577537767986,0.8074951339998652,2.1159380207244514,0.7988214677444695,1.3151080607202208,0.7233595106546236,lda
0,20,1.0384721801810923,0.0608158239943614,0.6906748855407622,3.2491761704525923,0.6873030169023566,inf,0.5430752243019573,gplsi
1,20,0.975575275342828,0.0538638655605675,0.7202346249536742,3.4515161303173834,0.7172029619439753,inf,0.57499927614019,gplsi
2,20,0.967309975136651,0.0532099918504962,0.7268346237877897,3.5745056279599177,0.7238256130704865,inf,0.5829800098002302,gplsi
3,20,0.9785199467393288,0.0529721967807494,0.7253359359113826,3.507428879306936,0.7222586116789121,inf,0.5838004692990091,plsi
4,20,1.0466800137872574,0.0549490511550219,0.6953691584569212,3.4439709888188568,0.6915729357787286,inf,0.5483383763899203,plsi
5,20,0.9261705926853196,0.0528320336798479,0.7404391078175895,3.670662167821545,0.7376713577295806,inf,0.5902044839865361,plsi
6,20,0.8158806808545392,0.0130494983948864,0.7693493291772223,2.1186062258436302,0.7608361950051229,1.514924412549022,0.6749077208306431,lda
7,20,0.8296477322169947,0.0149217534778167,0.7701361532362812,2.1452329757468203,0.7624420169446484,1.5395184561413913,0.6733747316604127,lda
8,20,0.7600757523701491,0.0132073541025618,0.8039963692097662,2.37981314795819,0.7976089408226277,1.4964892225231845,0.7197151663122627,lda
